#    File Name               Date (MJD)      Phase         RV obs     RV theo (km/s)
  2007-06-09T01_19_05.904    54260.053056     -9.261613    -2.2724    -0.0149
  2007-06-13T01_59_57.950    54264.081470     -7.445847    -2.4420    -0.1932
  2007-07-13T00_09_04.019    54294.002581      6.040783    -2.0664     0.1983
  2007-07-16T20_50_11.200    54297.864479      7.781494    -2.2063     0.0403
  2007-07-17T02_24_01.489    54298.096308      7.885989    -2.0992     0.1546
  2007-07-17T20_17_47.439    54298.841979      8.222092    -2.2003     0.0358
  2007-07-18T02_31_34.642    54299.101551      8.339091    -2.3717    -0.1089
  2007-07-18T20_23_18.276    54299.845810      8.674558    -2.3508    -0.0936
  2007-07-19T02_40_21.744    54300.107650      8.792580    -2.1894     0.0542
  2007-07-19T20_37_03.017    54300.855347      9.129597    -2.1206     0.1407
  2007-07-20T01_39_08.899    54301.065139      9.224158    -2.2388     0.0331
  2007-07-20T01_45_18.399    54301.069421      9.226088    -2.2405     0.0307
  2007-07-20T01_51_38.556    54301.073819      9.228071    -2.2322     0.0282
  2007-07-20T01_58_06.728    54301.078310      9.230095    -2.2298     0.0256
  2007-07-20T02_04_32.239    54301.082778      9.232109    -2.2298     0.0230
  2007-07-20T21_13_04.357    54301.880359      9.591610    -2.4186    -0.1720
  2007-07-21T02_19_17.827    54302.086065      9.684330    -2.3303    -0.0822
  2007-07-21T20_29_45.906    54302.849595     10.028483    -1.9579     0.2017
  2007-07-21T21_55_30.310    54302.909132     10.055319    -2.0634     0.1927
  2007-07-22T01_34_36.796    54303.061296     10.123905    -2.1113     0.1460
  2007-07-22T02_42_30.882    54303.108449     10.145159    -2.1317     0.1255
  2007-07-22T21_11_29.817    54303.879271     10.492599    -2.4470    -0.2048
  2007-07-24T00_54_55.040    54305.034421     11.013271    -2.0416     0.2043
  2007-07-24T20_46_01.816    54305.861574     11.386102    -2.3947    -0.1547
  2007-07-25T01_52_13.263    54306.074225     11.481952    -2.4389    -0.2037
  2007-07-25T02_34_17.480    54306.099965     11.493554    -2.4460    -0.2048
  2007-07-25T20_44_56.188    54306.860822     11.836502    -2.1360     0.1060
  2007-07-25T23_48_54.082    54306.988576     11.894086    -2.0838     0.1613
  2007-07-26T01_55_34.332    54307.076551     11.933740    -2.0586     0.1875
  2007-07-26T20_49_14.427    54307.863808     12.288588    -2.3070    -0.0492
  2007-07-27T02_12_59.907    54308.088646     12.389931    -2.4250    -0.1579
  2007-07-27T21_32_43.534    54308.894016     12.752944    -2.2656     0.0038
  2007-07-28T00_14_03.572    54309.006053     12.803443    -2.1955     0.0676
  2007-07-28T22_17_46.948    54309.924144     13.217263    -2.1999     0.0419
  2007-07-29T02_35_24.145    54310.101887     13.297379    -2.3114    -0.0601
  2007-07-29T21_34_21.900    54310.895150     13.654934    -2.3576    -0.1153
  2007-07-30T01_37_43.460    54311.064155     13.731111    -2.2659    -0.0243
  2007-07-30T21_31_39.525    54311.889792     14.103259    -2.0780     0.1633
  2007-07-31T01_05_04.820    54312.037998     14.170061    -2.1460     0.0987
  2007-08-01T00_39_34.596    54313.023773     14.614389    -2.3943    -0.1543
  2007-08-01T02_45_36.163    54313.111285     14.653834    -2.3555    -0.1165
  2007-08-01T20_58_10.957    54313.870023     14.995827    -2.0449     0.2049
  2007-08-03T01_35_37.405    54315.059213     15.531842    -2.4477    -0.2009
  2007-08-03T21_21_22.544    54315.886134     15.904568    -2.0873     0.1692
  2007-08-04T01_33_27.989    54316.061192     15.983474    -2.0564     0.2039
  2007-08-04T23_48_09.395    54316.988067     16.401253    -2.4092    -0.1668
  2007-08-05T03_02_44.298    54317.120880     16.461117    -2.4447    -0.1989
  2007-08-05T19_51_02.334    54317.823391     16.777767    -2.1954     0.0356
  2007-08-06T01_36_11.134    54318.063090     16.885809    -2.0882     0.1545
  2007-08-15T21_23_21.903    54327.887731     21.314164    -2.3453    -0.0804
  2007-08-16T00_48_26.623    54328.031319     21.378885    -2.3897    -0.1485
  2007-08-17T19_58_36.342    54329.828646     22.189011    -2.1659     0.0766
  2007-08-18T20_35_39.676    54330.854387     22.651353    -2.3810    -0.1191
  2007-08-19T01_14_27.438    54331.047986     22.738616    -2.2651    -0.0147
  2007-08-19T23_29_39.357    54331.976146     23.156975    -2.1563     0.1131
  2007-08-20T20_29_35.476    54332.846690     23.549363    -2.4399    -0.1952
  2007-08-21T21_25_07.620    54333.888738     24.019056    -2.0455     0.2035
  2007-08-22T21_30_31.366    54334.892488     24.471485    -2.4349    -0.2017
  2007-08-23T23_06_55.822    54335.959421     24.952394    -2.0569     0.1959
  2009-06-21T02_07_31.731    55003.083102    325.651483    -2.3503    -0.1189
  2009-07-20T02_14_35.563    55032.088009    338.725144    -2.2838    -0.0319
  2009-07-28T21_55_29.751    55040.908090    342.700704    -2.3068    -0.0625
  2009-09-17T21_34_14.501    55091.893322    365.681769    -2.3422    -0.0852
