order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  109	 198	27.4	  -2.3047	 3.2201
 1	  149	 197	28.0	  -2.1595	 3.0461
 2	  279	 217	39.7	  -2.1211	 3.4434
 3	  315	 204	42.0	  -2.0215	 3.2583
 4	  396	 210	45.3	  -2.0932	 3.3515
 5	  431	 213	41.0	  -2.1418	 3.2496
 6	  491	 197	41.8	  -2.0665	 3.6089
 7	  531	 181	39.5	  -2.1865	 3.8377
 8	  583	 176	38.1	  -2.1109	 3.3643
 9	  695	 145	38.6	  -2.1311	 3.1369
10	  825	 188	40.9	  -2.2078	 3.3629
11	 1015	 184	46.4	  -2.1738	 3.3557
12	 1175	 162	44.3	  -1.9667	 3.6716
13	 1260	 134	45.9	  -2.0948	 3.7654
14	 1345	 129	42.4	  -2.0135	 3.4835
15	 1357	 130	41.9	  -2.1455	 3.4608
16	 1570	 125	40.3	  -2.1182	 3.0905
17	 1569	 138	38.2	  -2.1849	 3.3122
18	 1682	 106	45.0	  -2.1791	 3.6302
19	 1936	 127	44.7	  -2.2015	 3.6927
20	 1886	 126	43.5	  -2.3089	 3.5582
21	 2097	 123	40.3	  -2.2842	 3.8391
22	 2107	 121	43.9	  -2.1256	 4.0412
23	 2287	 120	40.3	  -2.1440	 4.1230
24	 2489	 101	44.7	  -2.1302	 4.7530
25	 2701	  90	39.7	  -2.1387	 4.0954
26	 2967	  83	40.7	  -2.2651	 4.5714
27	 3198	  85	33.3	  -2.2391	 3.7097
28	 3382	  60	34.5	  -2.1268	 3.4307
29	 3574	  56	31.1	  -2.2078	 3.4174
30	    0	   0	 0.0	   0.0000	 0.0000
31	 4276	  37	42.4	  -2.3101	 3.9577
32	 4142	  85	38.8	  -2.2391	 3.6576
33	 4676	  51	38.6	  -2.1161	 3.8275
34	 4406	  42	36.8	  -2.2665	 4.4051
35	 3663	  13	42.9	  -2.1843	 4.5217
36	 4796	  26	27.8	  -2.2986	 3.2370
37	 4777	  53	26.5	  -2.2684	 3.6306
38	    0	   0	 0.0	   0.0000	 0.0000
